episode,episode_reward,episode_steps,episode_success,episode_delay,total_samples,epsilon,loss,timestamp
473,-7.959710965595802,22,1,98.19928450244623,21388,0.3879,0.138925,2026-04-02 14:19:17
474,-2.8529564681255675,14,1,51.902171105888335,21424,0.3871,0.272910,2026-04-02 14:19:17
475,-1.7061459704786708,10,1,46.88276827139693,21511,0.3864,0.274716,2026-04-02 14:19:18
476,-22.144405403268127,38,1,179.39685696968672,21511,0.3856,0.274716,2026-04-02 14:19:18
477,-3.0233179376037307,19,1,64.32648963109474,21543,0.3848,0.299524,2026-04-02 14:19:19
478,-87.29265231463113,104,1,581.064699774284,21563,0.3841,0.077645,2026-04-02 14:19:19
479,-82.89477371571692,82,1,548.4004785386202,21576,0.3833,0.253669,2026-04-02 14:19:19
480,-7.966356471689885,10,1,78.74450698379106,21594,0.3825,0.111163,2026-04-02 14:19:19
481,-1.0932227383608693,9,1,34.661347419826924,21618,0.3818,0.224805,2026-04-02 14:19:19
482,-5.0095983068738645,7,1,88.90046486691823,21657,0.3810,0.152826,2026-04-02 14:19:20
483,-9.010512914542497,18,1,80.91754432171426,21657,0.3802,0.152826,2026-04-02 14:19:20
484,-6.35725462722308,13,1,115.4590161811675,21669,0.3795,0.109999,2026-04-02 14:19:20
485,-51.8323475160077,72,1,552.3015451816156,21776,0.3787,0.159525,2026-04-02 14:19:21
486,-5.074392585484551,16,1,89.02112214548143,21788,0.3780,0.443101,2026-04-02 14:19:21
487,-172.1699905259183,200,0,1139.666691473839,21792,0.3772,0.223342,2026-04-02 14:19:21
488,-10.210115259297842,18,1,180.17845076311607,21818,0.3764,0.044663,2026-04-02 14:19:22
489,-182.17783674382247,200,0,1244.8284732473865,21887,0.3757,0.136693,2026-04-02 14:19:22
490,-6.868866436212263,12,1,114.86878738281351,21919,0.3749,0.233166,2026-04-02 14:19:23
491,-14.58314869464289,24,1,161.79873191877994,21983,0.3742,0.141596,2026-04-02 14:19:23
492,-13.486730006794229,15,1,127.90780658096851,22011,0.3734,0.299587,2026-04-02 14:19:23
493,-0.39337099482064175,3,1,26.50282082500396,22012,0.3727,0.377984,2026-04-02 14:19:23
494,-3.9488703419543962,12,1,96.52840823816494,22018,0.3720,0.189479,2026-04-02 14:19:24
495,-0.2541581938177516,3,1,27.146712234870638,22048,0.3712,0.247271,2026-04-02 14:19:24
496,-8.38139407515055,9,1,93.83367546261013,22127,0.3705,0.066174,2026-04-02 14:19:25
497,0.1713880769626902,1,1,18.096198099255727,22142,0.3697,0.105186,2026-04-02 14:19:25
